,Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage,Duration in Minutes,TimeQueriedSecondObservation,viewCountSecondObservation,likeCountSecondObservation,dislikeCountSecondObservation,commentCountSecondObservation
52,probability and statistics lectures,Thu Aug 20 02:58:21 2020,Best Engineering Mathematics Tips &amp; Tricks:Probability &amp; Statistics,BA6L5U9zuZM,2016-10-31T09:10:01Z,12:40,79903,653.0,57.0,0,2.3807777826609464,19.0,en,12.666666666666666,Fri Aug 21 15:04:05 2020,79943,653.0,57.0,19.0
413,probability and statistics lectures,Thu Aug 20 03:01:38 2020,Introduction to the Central Limit Theorem,Pujol1yC1_A,2012-12-29T06:23:44Z,13:14,398270,3429.0,57.0,0,2.369498065267181,368.0,en,13.233333333333333,Fri Aug 21 15:05:14 2020,398408,3432.0,57.0,368.0
70,probability and statistics lectures,Thu Aug 20 02:58:29 2020,Probability &amp; Statistics (24 of 62) Calculating the Odds and Horse Racing,2xXUK7GLo1s,2015-02-01T16:45:07Z,4:21,73708,262.0,57.0,0,2.3631873688954523,104.0,en,4.35,Fri Aug 21 15:04:08 2020,73743,262.0,57.0,104.0
201,probability and statistics lectures,Thu Aug 20 02:59:38 2020,Hypothesis Testing Problems   Z Test &amp; T Statistics   One &amp; Two Tailed Tests   2,zJ8e_wAWUzE,2019-10-28T12:58:42Z,13:34,159173,1980.0,37.0,0,2.34656227938566,129.0,en,13.566666666666666,Fri Aug 21 15:04:32 2020,159909,1994.0,39.0,131.0
247,probability and statistics lectures,Thu Aug 20 03:00:06 2020,An Introduction to Continuous Probability Distributions,OWSOhpS00_s,2012-12-23T08:09:30Z,5:52,388639,2272.0,44.0,0,2.3127704680171672,100.0,en,5.866666666666666,Fri Aug 21 15:04:42 2020,388816,2274.0,45.0,100.0
296,probability and statistics lectures,Thu Aug 20 03:00:33 2020,Marginal distribution and conditional distribution | AP Statistics | Khan Academy,CAXQvTKP8sg,2016-11-16T19:34:58Z,6:37,240298,778.0,62.0,0,2.2167717121094688,34.0,en,6.616666666666666,Fri Aug 21 15:04:50 2020,240499,779.0,62.0,34.0
227,probability and statistics lectures,Thu Aug 20 02:59:53 2020,What is Standard Deviation? Probability and Statistics - Standard Deviation Formula &amp; Calculation,WUi44eAh_mA,2008-05-10T05:08:19Z,7:39,307351,752.0,69.0,0,2.203714347165178,48.0,en,7.65,Fri Aug 21 15:04:37 2020,307389,752.0,69.0,48.0
94,probability and statistics lectures,Thu Aug 20 02:58:42 2020,Conditional Probability,zuQUpShD3ZQ,2018-01-20T05:44:10Z,6:8,69655,771.0,77.0,0,2.196354707685359,40.0,en,6.133333333333334,Fri Aug 21 15:04:12 2020,69749,772.0,77.0,40.0
344,probability and statistics lectures,Thu Aug 20 03:01:00 2020,An Introduction to the Binomial Distribution,qIzC1-9PwQo,2013-10-26T14:06:08Z,14:11,453842,3999.0,69.0,0,2.193711396580308,332.0,en,14.183333333333334,Fri Aug 21 15:05:00 2020,454098,4000.0,69.0,333.0
462,probability and statistics lectures,Thu Aug 20 03:02:05 2020,Probability,X0OyeDsQJqA,2012-02-10T21:03:21Z,4:59,60775,191.0,104.0,0,2.18639061290761,0.0,en,4.983333333333333,Fri Aug 21 15:05:24 2020,60798,193.0,104.0,0.0
441,probability and statistics lectures,Thu Aug 20 03:01:54 2020,Introduction to Confidence Intervals,27iSnzss2wM,2013-01-01T23:52:38Z,6:42,278835,1524.0,49.0,0,2.186118583998922,79.0,en,6.7,Fri Aug 21 15:05:20 2020,278911,1526.0,49.0,79.0
144,probability and statistics lectures,Thu Aug 20 02:59:10 2020,"Basic probability: Joint, marginal and conditional probability | Independence",SrEmzdOT65s,2017-04-06T23:16:54Z,14:28,130911,2725.0,24.0,0,2.17106790673706,114.0,en,14.466666666666667,Fri Aug 21 15:04:22 2020,131147,2736.0,24.0,114.0
76,probability and statistics lectures,Thu Aug 20 02:58:33 2020,Understanding Statistical Inference - statistics help,tFRXsngz4UQ,2015-11-09T03:38:15Z,6:46,161648,1506.0,50.0,0,2.160567701291238,58.0,en,6.766666666666667,Fri Aug 21 15:04:09 2020,161883,1512.0,50.0,58.0
376,probability and statistics lectures,Thu Aug 20 03:01:19 2020,An Introduction to the Continuous Uniform Distribution,-qt8CPIadWQ,2012-12-28T03:05:22Z,6:57,276654,2014.0,41.0,0,2.159308316711709,142.0,en,6.95,Fri Aug 21 15:05:07 2020,276810,2015.0,41.0,142.0
241,probability and statistics lectures,Thu Aug 20 03:00:01 2020,Understanding Random Variables - Probability Distributions 1,lHCpYeFvTs0,2014-06-30T10:33:44Z,5:8,194089,1627.0,49.0,0,2.145630323306319,126.0,en,5.133333333333334,Fri Aug 21 15:04:40 2020,194242,1629.0,49.0,126.0
369,probability and statistics lectures,Thu Aug 20 03:01:15 2020,Statistics Lecture 1.1:  The Key Words and Definitions For Elementary Statistics,9FtHB7V14Fo,2011-12-08T20:31:44Z,17:24,618612,3709.0,52.0,0,2.1431881117009897,301.0,en,17.4,Fri Aug 21 15:05:06 2020,619145,3714.0,52.0,302.0
475,probability and statistics lectures,Thu Aug 20 03:02:12 2020,Econometrics // Lecture 3: OLS and Goodness-Of-Fit (R-Squared),8tAPsX0YuNE,2013-08-03T20:30:06Z,12:15,227769,1689.0,53.0,0,2.110114882488868,225.0,en,12.25,Fri Aug 21 15:05:26 2020,227849,1689.0,53.0,225.0
