Topic,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount
data science lectures,Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,-ETQ97mXXF0,2019-08-18T08:30:02Z,10:23:57,870349,20712,254,0
data science lectures,Foundations of Data Science - Lecture 1,WEBUWYxaqLQ,2017-11-17T00:27:17Z,49:26,25809,300,10,0
data science lectures,Intro to Data Science: Overview,pzo13OPXZS4,2019-06-06T04:48:07Z,6:12,30134,574,3,0
data science lectures,Data Science Tutorial | Data Science for Beginners | Python for Data Science | 11 Hours Full Course,u2zsY-2uZiE,2020-02-03T12:56:37Z,11:9:27,400902,14537,173,0
data science lectures,Lecture: Mathematics of Big Data and Machine Learning,0sKPkJME2Jw,2018-11-09T22:20:24Z,38:16,143078,3060,38,0
data science lectures,Next in (Data) Science | Part 1 | Radcliffe Institute,jY_j_IlhH0I,2018-05-16T16:04:50Z,55:22,12867,270,5,0
data science lectures,Data Science Full Course 2020 | Data Science For Beginners | Data Science from Scratch | Simplilearn,7WRlYJFG7YI,2019-09-18T14:30:01Z,9:51:33,133257,3558,58,0
data science lectures,Python for Data Science | Data Science with Python | Python for Data Analysis | 11 Hours Full Course,edvg4eHi_Mw,2020-01-15T07:00:34Z,10:55:56,311641,10481,120,0
data science lectures,Learn Data Science Tutorial - Full Course for Beginners,ua-CiDNNj30,2019-05-30T12:48:19Z,5:52:9,908082,23555,342,0
data science lectures,"Lec 1, Introduction to Data Analytics",YZf5q-ICf8Y,2019-12-15T18:30:02Z,34:44,65761,464,3,0
data science lectures,Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford),Vfo5le26IhY,2019-12-20T07:17:27Z,7:12:51,423043,11296,168,0
data science lectures,Foundations of Data Science - Lecture 5 - Length Squared Sampling in Matrices,M1nRLD4wKk8,2017-12-12T04:19:17Z,1:14:0,1538,13,0,0
data science lectures,Data Science Lecture Series: Maximizing Human Potential Using Machine Learning-Driven Applications,h1A8gJwjkU8,2014-11-25T20:55:15Z,1:24:16,12660,78,2,0
data science lectures,Turing Lecture: Data Science for Medicine,RfK3D5dJV2Q,2017-05-09T10:51:46Z,1:20:59,9747,94,2,0
data science lectures,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,X3paOmcrTjQ,2018-12-04T14:30:01Z,4:38,1193294,16059,653,0
data science lectures,Data Science for Business. Lecture 1. Introduction to Data Science.,oseHCwDBfSE,2020-04-10T21:28:25Z,1:8:31,1518,36,0,0
data science lectures,Statistics - A Full University Course on Data Science Basics,xxpc-HPKN28,2019-06-12T14:59:55Z,8:15:5,357897,9186,109,0
data science lectures,Introduction to Data Science with R - Data Analysis Part 1,32o0DnuRjfg,2014-11-09T06:32:12Z,1:21:50,1272782,10888,170,0
data science lectures,HOW TO BECOME DATA SCIENTIST IN 2020- in Hindi| SALARY OF DATA SCIENTIST| Sangwans Studio|,iLcvvVXBSFo,2019-11-16T10:27:24Z,13:26,466137,28746,818,0
data science lectures,Data Science - Part I - Building Predictive Analytics Capabilities,KDJDzeKM8DI,2015-01-23T22:46:57Z,1:52:19,182615,1260,39,0
data science lectures,Foundations of Data Science - Lecture 2,u3HDFpTcNhU,2017-11-16T23:21:42Z,59:1,3124,17,2,0
data science lectures,"Algorithms for Big Data (COMPSCI 229r), Lecture 1",s9xSfIw83tk,2016-07-12T15:03:25Z,1:26:5,118535,959,21,0
data science lectures,11. Introduction to Machine Learning,h0e2HAPTGF4,2017-05-19T14:22:40Z,51:31,766692,9788,225,0
data science lectures,Intro to Data Science: The Nature of Data,OAB2bHsee9Y,2019-06-06T05:00:32Z,12:27,8568,199,0,0
data science lectures,Foundations of Data Science - Lecture 4,2502R_mOhWc,2017-11-17T04:16:53Z,1:16:9,1657,14,1,0
data science lectures,The Future of Data Science - Data Science @ Stanford,hxXIJnjC_HI,2015-07-07T06:30:30Z,25:49,105370,948,27,0
data science lectures,Intro to Data Science - Crash Course for Beginners,N6BghzuFLIg,2019-03-04T18:20:37Z,1:39:49,118571,2397,50,0
data science lectures,Data Science : Deep Learning in 12 Minutes,qdkI0DcdWV8,2019-06-24T11:06:27Z,13:56,10871,248,31,0
data science lectures,Statistics for Machine Learning  | Statistics Class 10 | Statistics for Data Science | Full Course,o8f2w0Q0ME4,2020-02-18T11:30:02Z,5:20:34,33773,852,18,0
data science lectures,Data Science for Business.  Lecture 2. Exploratory Data Analysis,OamW9H1YgU4,2020-04-17T19:30:41Z,1:11:22,642,12,1,0
data science lectures,Intro to Data Science: What is Data Science?,FsSrzmRawUg,2019-06-06T05:19:06Z,8:15,15519,342,4,0
data science lectures,Lecture 1 - Introduction to Data Science,Oqb3WSPOyv8,2017-03-03T22:15:00Z,1:11:59,11412,84,3,0
data science lectures,"Week 1: Spatial Data, Spatial Analysis, Spatial Data Science",MmCYeJ27DsA,2017-10-07T21:18:44Z,1:15:56,15638,206,3,0
data science lectures,Data Science Tutorial in Hindi | What is Data Science? | Edureka Hindi,4O3hedO8wjs,2019-02-06T14:08:30Z,35:30,70942,1968,29,0
data science lectures,Data Science - Part XIV - Genetic Algorithms,lpD38NxTOnk,2015-02-25T20:56:28Z,1:33:50,28530,272,13,0
data science lectures,Hadley Wickham – “You can&#39;t do data science in a GUI”,cpbtcsGE0OA,2018-03-12T21:30:20Z,1:15:19,22123,301,10,0
data science lectures,Data Science : Learn Data Science in a Logical Way,TOnE_KFE-Jc,2019-07-02T11:48:32Z,11:20,7236,203,14,0
data science lectures,Session 2 Lecture - Data Science &amp; Structural Biology Course - 03/01/2016,pyESgMM6hyQ,2016-03-02T18:47:54Z,1:1:10,399,3,0,0
data science lectures,Linear Regression Algorithm | Linear Regression in Python | Machine Learning Algorithm | Edureka,E5RjzSK0fvY,2018-06-26T14:28:24Z,28:36,345364,5337,227,0
data science lectures,MIT Deep Learning Basics: Introduction and Overview,O5xeyoRL95U,2019-01-11T16:47:40Z,1:8:6,649633,12175,258,0
data science lectures,"Data science applications: Urban data science - Professor Cecilia Mascolo, University of Cambridge",eNpdvzORWVc,2016-12-13T12:30:36Z,47:21,1807,31,1,0
data science lectures,Hypothesis Testing Tutorial | Data Science Tutorial | Data Science Online training | Intellipaat,jde9Ws9WPoQ,2017-11-30T14:11:03Z,25:44,8683,133,19,0
data science lectures,Global Women in Data Science (WiDS) Conference at Stanford,by3lyP-mAiU,2020-03-03T01:49:49Z,8:9:38,7541,192,23,0
data science lectures,Olubayo Adekanmbi from MTN and Data Science Nigeria on how AI ecosystems are created,itJO2Lvr6dk,2020-04-14T18:24:30Z,2:28,2621,113,0,0
data science lectures,Lecture 1 | Machine Learning (Stanford),UzxYlbK2c7E,2008-07-23T01:58:21Z,1:8:40,2428205,14020,284,0
data science lectures,LIVE _ Launch of Online BSc degree /Diploma in Programming and Data Science from IIT Madras,hPaSP8CY7IU,2020-06-30T07:33:08Z,44:18,99264,3651,111,0
data science lectures,Lectures on Matrix computation in data science (7.5.2018) - Part 1,n5KlD7NRgA0,2018-05-07T09:41:33Z,54:22,236,6,0,0
data science lectures,"Data Analysis:  Clustering and Classification (Lec. 1, part 1)",B0TI2q7wgIQ,2016-02-20T01:08:09Z,26:59,93903,1077,17,0
data science lectures,Machine Learning Algorithms | Machine Learning Tutorial | Data Science Training | Edureka,Up6KLx3m2ww,2017-05-22T06:03:30Z,45:16,234976,2654,105,0
data science lectures,Statistics Lecture 3.3: Finding the Standard Deviation of a Data Set,4-FysvtxQEU,2011-12-09T13:12:58Z,1:56:10,212770,1391,23,0
data science lectures,Lectures on Matrix computation in data science (7.5.2018) - Part 1,n5KlD7NRgA0,2018-05-07T09:41:33Z,54:22,236,6,0,0
data science lectures,"Data Analysis:  Clustering and Classification (Lec. 1, part 1)",B0TI2q7wgIQ,2016-02-20T01:08:09Z,26:59,93903,1077,17,0
data science lectures,Machine Learning Algorithms | Machine Learning Tutorial | Data Science Training | Edureka,Up6KLx3m2ww,2017-05-22T06:03:30Z,45:16,234976,2654,105,0
data science lectures,openSAP Course: Getting Started with Data Science - Teaser Video,70tK2rz7-iA,2017-05-31T13:08:06Z,4:12,2563,37,1,0
data science lectures,MSc in Data Sciences and Business Analytics  - Machine Learning  Part3/7 - Chloé-Agathe Azencott,y1diXhbkBBY,2015-10-12T10:19:34Z,18:15,2198,11,1,0
data science lectures,Statistics Lecture 3.3: Finding the Standard Deviation of a Data Set,4-FysvtxQEU,2011-12-09T13:12:58Z,1:56:10,212770,1391,23,0
data science lectures,Bayesian Data Science: Probabilistic Programming | SciPy 2019 Tutorial | Eric Ma,2wvt6GPZl1U,2019-07-12T05:16:20Z,3:28:59,12521,276,3,0
data science lectures,Overview of Health Care Data Analytics,8vQWWNhjffc,2017-01-12T18:48:09Z,20:50,28091,316,7,0
data science lectures,Survival Models: Introduction to Survival Analysis | Data Science,Cg0Gl-_6TwM,2014-08-31T22:15:30Z,20:26,98820,332,74,0
data science lectures,Math Review for Data Science and Analytics (6/1/2017),7S3Lr7JaPyY,2017-09-12T17:40:04Z,56:16,4113,36,7,0
data science lectures,Linear Regression Algorithm | Linear Regression in R | Data Science Training | Edureka,1-URCcgTBf4,2017-04-17T06:49:36Z,57:6,90226,665,41,0
data science lectures,You can learn DATA SCIENCE for FREE. I&#39;ll show you how.,eTxyviU0Ddo,2019-02-07T20:00:04Z,6:24,304010,21086,136,0
data science lectures,"PGC Lectures:  Computer, Difference between data and information, Operation",ImBZg8sjWqI,2017-01-07T09:28:27Z,18:41,28861,417,40,0
data science lectures,Introduction to BIG Data in Hindi | Small Data Vs BIG Data | Real Life Examples,LOuAOZWJ9RA,2019-06-02T15:27:45Z,12:45,22757,831,13,0
data science lectures,"1. Introduction, Optimization Problems (MIT 6.0002 Intro to Computational Thinking and Data Science)",C1lhuz6pZC0,2017-05-19T15:55:26Z,40:57,238962,2569,34,0
data science lectures,Machine Learning Lectures | Introduction to Machine Learning in Hindi | ML #1,eIicc0UTd4M,2018-02-11T15:26:40Z,16:59,140283,1865,86,0
data science lectures,Julia Tutorial | Julia Data Science Basic Full Course [Complete Tutorial] for Beginners [2019],lwj-1mclq0U,2019-10-14T15:30:00Z,4:15:35,19609,399,13,0
data science lectures,Sabermetrics 101: Baseball Analytics | Andy Andres | Talks at Google,wu2twZdrM-E,2016-06-23T17:59:33Z,1:4:7,47596,629,18,0
data science lectures,Tutorial on Sheaves in Data Analytics: Lecture 5: Categorification and Chain Complexes,TUJQ1MpmDFE,2015-08-26T14:27:16Z,1:5:56,1222,13,0,0
data science lectures,Course Overview,9gfER4p1jXM,2015-06-30T06:13:57Z,28:47,174749,969,19,0
data science lectures,CS 109a: Data Science I: Introduction to Data Science,ck9IdMzm4fw,2018-09-10T14:39:04Z,1:35,2295,13,0,0
data science lectures,Data Science for Engineers - Introduction,XohgKT13FKY,2017-11-24T03:47:14Z,10:35,72596,248,4,0
data science lectures,04/10/17 Data Science for Kaggle Decal Lecture 16: Convolutional Neural Networks + Keras,_XQzT5Ik6Zo,2017-04-11T21:25:13Z,53:8,131,1,0,0
data science lectures,Exploratory Data Analysis,5rTb6AkKhds,2016-12-09T22:38:13Z,59:35,2493,18,0,0
data science lectures,What is A/B Testing? | Data Science in Minutes,zFMgpxG-chM,2018-12-28T23:47:52Z,3:43,62684,1246,58,0
data science lectures,"Tutorial 22-Univariate, Bivariate and Multivariate Analysis- Part1 (EDA)-Data Science",JG8GRlMjp3c,2019-11-27T19:59:11Z,13:11,42779,1015,26,0
data science lectures,Data Science - Part III -  EDA &amp; Model Selection,St-xm35a_nk,2015-01-24T03:44:54Z,1:48:37,46525,381,6,0
data science lectures,Linear Regression Explained in Hindi ll Machine Learning Course,lzGKRSvs5HM,2019-03-10T11:02:48Z,14:20,149912,5037,132,0
data science lectures,Big Data Tutorial For Beginners | What Is Big Data | Big Data Tutorial | Hadoop Training | Edureka,zez2Tv-bcXY,2017-04-25T15:17:33Z,42:34,987359,6800,317,0
data science lectures,protocols and standards |  data communication lectures | Bhanu priya,sjwXCIe7DTA,2018-11-28T01:25:08Z,10:41,41799,448,30,0
data science lectures,Ihaka Lecture Series 2017: Expressing yourself with R,1POb5fx_m3I,2017-03-08T07:14:54Z,1:2:26,9481,,,0
data science lectures,Decision Tree Algorithm With Example | Decision Tree In Machine Learning | Data Science |Simplilearn,RmajweUFKvM,2018-03-20T13:49:08Z,32:40,126228,1548,50,0
data science lectures,noc19-cs33 Lecture 1-Introduction to Big Data,rvJgArru8dI,2019-01-24T10:26:32Z,44:26,18895,51,7,0
data science lectures,Coursera Course &quot;Process Mining: Data science in Action&quot;,jOOI2NBsHd0,2014-09-05T14:41:10Z,3:42,10211,38,0,0
data science lectures,MSc in Data Sciences and Business Analytics  - Machine Learning - Part 7/7 - Chloé-Agathe Azencott,s124URRlMHA,2015-10-12T10:00:45Z,21:41,2139,7,0,0
data science lectures,How To Learn Statistics By Self Study And For Free,8Jo4H1uJLWc,2020-02-18T13:37:24Z,12:41,13790,677,8,0
data science lectures,Data Analytics with Python,4SJ7bEILPJk,2019-11-20T09:26:10Z,2:13,69963,388,2,0
data science lectures,Lecture_2 - Course Introduction: Data Science &amp; Machine Learning using Python,eTcrJ4RIMAg,2020-01-09T20:21:15Z,7:21,165,4,0,0
data science lectures,R Tutorial For Beginners | R Programming Tutorial l R Language For Beginners | R Training | Edureka,eDrhZb2onWY,2017-05-16T15:00:59Z,1:33:0,802422,7193,248,0
data science lectures,"Advanced Algorithms (COMPSCI 224), Lecture 1",0JUN9aDxVmI,2016-07-11T16:31:33Z,1:28:19,5327950,57403,3209,0
data science lectures,Data Preprocessing Steps for Machine Learning &amp; Data analytics,NBm4etNMT5k,2017-04-16T08:30:29Z,3:50,38421,494,20,0
data science lectures,Lectures on Matrix computation in data science (8.5.2018) - Part 1,JWkiPn8fkuY,2018-05-09T08:10:02Z,53:34,404,6,0,0
data science lectures,Statistics For Data Science | Statistics Using R Programming Language | Hypothesis Testing | Edureka,oT87O0VQRi8,2018-11-16T05:45:06Z,25:26,48523,647,22,0
data science lectures,Introduction to Python for Data Science,tA42nHmmEKw,2019-08-23T09:16:09Z,16:1,105080,342,9,0
data science lectures,Foundations of Data Science - Lecture 7 - Singular Value Decomposition - ll,bcpJw4I-Ckg,2017-12-12T16:38:58Z,1:10:20,1279,6,0,0
data science lectures,Lectures on Matrix computation in data science (8.5.2018) - Part 2,ivzqdn5RUtc,2018-05-09T08:25:31Z,30:41,755,6,0,0
data science lectures,Karthik Ganapathy on Data Science- Great Lakes Chennai Chapter Lectures,ocDpLeS5cLk,2016-08-12T10:53:23Z,27:43,211,1,0,0
