,Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage,Duration in Minutes,TimeQueriedSecondObservation,viewCountSecondObservation,likeCountSecondObservation,dislikeCountSecondObservation,commentCountSecondObservation
5,competitive programming lectures,Thu Aug 20 03:27:58 2020,How to start Competitive Programming? For beginners!,xAeiXy8-9Y8,2020-03-28T11:53:08Z,9:43,329856,12273.0,74.0,0,2.0881355326660764,779.0,en,9.716666666666667,Fri Aug 21 15:07:37 2020,332051,12321.0,76.0,783.0
358,competitive programming lectures,Thu Aug 20 03:29:41 2020,1. Introduction to Algorithms,0IAPZzGSbME,2018-01-18T12:54:29Z,11:49,1241570,11322.0,174.0,0,2.0355374245880156,851.0,en,11.816666666666666,Fri Aug 21 15:08:46 2020,1245054,11368.0,174.0,855.0
503,competitive programming lectures,Thu Aug 20 03:30:25 2020,How I Scored 99.9th Percentile on the MCAT - How to Study,-XZjgAh9BjM,2016-11-04T13:29:27Z,8:34,338305,7402.0,130.0,0,2.03435810096535,238.0,en,8.566666666666666,Fri Aug 21 15:09:16 2020,338609,7408.0,131.0,238.0
535,competitive programming lectures,Thu Aug 20 03:30:34 2020,How to Create a Linked List C++ Introduction to Linked Lists,o5wJkJJpKtM,2012-12-12T08:50:51Z,12:25,712909,9818.0,171.0,0,2.0305636899634534,714.0,en,12.416666666666666,Fri Aug 21 15:09:22 2020,713122,9831.0,171.0,718.0
550,competitive programming lectures,Thu Aug 20 03:30:39 2020,Hashing and Hash table in data structure and algorithm,Ke_tII6Y0GE,2014-09-01T11:22:16Z,6:51,362803,1571.0,172.0,0,2.0249074763191284,69.0,en,6.85,Fri Aug 21 15:09:25 2020,362872,1572.0,172.0,69.0
74,competitive programming lectures,Thu Aug 20 03:28:16 2020,Resources for Learning Data Structures and Algorithms (Data Structures &amp; Algorithms #8),UNWSdgaPkwY,2018-08-07T04:39:29Z,3:36,474754,16645.0,176.0,0,2.020565753778972,551.0,en,3.6,Fri Aug 21 15:07:50 2020,475653,16675.0,176.0,551.0
541,competitive programming lectures,Thu Aug 20 03:30:36 2020,Tips for attempting Multiple Choice Questions - MCQ Exam Strategies,6b4hSESA33A,2016-05-30T10:52:59Z,3:32,172681,1083.0,184.0,0,2.0191731123382084,27.0,en,3.533333333333333,Fri Aug 21 15:09:24 2020,172777,1085.0,184.0,27.0
549,competitive programming lectures,Thu Aug 20 03:30:39 2020,Shortcuts for Permutation &amp; Combinations to Solve Complex Problems (CAT/CMAT/GRE/GMAT),SuFcwSlANmg,2014-05-23T11:14:03Z,10:48,298193,1410.0,175.0,0,2.0108091218045496,0.0,en,10.8,Fri Aug 21 15:09:25 2020,298206,1410.0,175.0,0.0
75,competitive programming lectures,Thu Aug 20 03:28:17 2020,3. Greedy Method -  Introduction,ARvQcqJ_-NY,2018-02-06T19:08:54Z,12:2,464479,6228.0,141.0,0,1.989776544808331,250.0,en,12.033333333333333,Fri Aug 21 15:07:50 2020,465119,6235.0,141.0,251.0
522,competitive programming lectures,Thu Aug 20 03:30:30 2020,Dynamic memory allocation in C - malloc calloc realloc free,xDVC3wKjS64,2013-03-05T06:59:10Z,17:35,595901,6333.0,134.0,0,1.9798177808638804,450.0,en,17.583333333333332,Fri Aug 21 15:09:20 2020,596252,6345.0,134.0,450.0
