,Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage,Duration in Minutes,TimeQueriedSecondObservation,viewCountSecondObservation,likeCountSecondObservation,dislikeCountSecondObservation,commentCountSecondObservation
121,graph theory lectures,Thu Aug 20 02:48:20 2020,Part-19 | complement of a graph in hindi graph theory discrete mathematics example practice question,uJUuRE3Itb0,2018-06-05T05:15:02Z,8:58,60420,1026.0,12.0,0,3.1581868913778366,56.0,en,8.966666666666667,Fri Aug 21 15:00:32 2020,60468,1026.0,12.0,56.0
323,graph theory lectures,Thu Aug 20 02:50:07 2020,DM-63-Graphs- Matching-Perfect Matching,KRYdrxTl40A,2017-05-17T06:05:41Z,5:13,30660,237.0,15.0,0,2.5012808178748736,4.0,en,5.216666666666667,Fri Aug 21 15:01:15 2020,30675,236.0,15.0,4.0
485,graph theory lectures,Thu Aug 20 02:51:37 2020,Hasse diagram in discrete mathematics | Discrete Mathematics GATE lectures,ONhylqohjuw,2018-05-07T14:26:08Z,14:36,15924,206.0,15.0,0,2.4913965699422556,15.0,en,14.6,Fri Aug 21 15:01:46 2020,15947,206.0,15.0,15.0
6,graph theory lectures,Thu Aug 20 02:44:00 2020,"Graph Theory -4 Basic Definitions- Types of vertexes , edges and graphs",mpMEZNempAg,2016-04-21T17:19:29Z,8:20,46839,248.0,16.0,0,2.359711851304858,30.0,en,8.333333333333334,Fri Aug 21 14:58:58 2020,46854,248.0,16.0,30.0
107,graph theory lectures,Thu Aug 20 02:48:14 2020,"Walk on Graph, Various Operations on Graph with Solved Examples in Hindi",cu4d-RLU-D4,2018-05-04T13:25:05Z,12:0,28523,265.0,18.0,0,2.2500421833894158,8.0,en,12.0,Fri Aug 21 15:00:30 2020,28534,265.0,18.0,8.0
250,graph theory lectures,Thu Aug 20 02:49:23 2020,Graph Types  Directed and Undirected Graph,amaH38_mXK4,2018-01-29T04:18:55Z,3:44,24358,189.0,19.0,0,2.240794144152599,11.0,en,3.7333333333333334,Fri Aug 21 15:00:57 2020,24373,189.0,19.0,11.0
265,graph theory lectures,Thu Aug 20 02:49:30 2020,Graph Types - Sub Graph,PvzHamptcL8,2018-01-29T04:19:06Z,2:22,14977,129.0,18.0,0,2.2386931066698463,4.0,en,2.3666666666666667,Fri Aug 21 15:01:00 2020,14991,129.0,18.0,4.0
15,graph theory lectures,Thu Aug 20 02:44:59 2020,Isomorphic Graphs,I46EddATx14,2018-01-29T04:42:28Z,6:59,16130,168.0,19.0,0,2.2367653970753434,16.0,en,6.983333333333333,Fri Aug 21 14:59:19 2020,16140,169.0,19.0,16.0
352,graph theory lectures,Thu Aug 20 02:50:26 2020,Connected Graph in discrete mathematics and its Components in Graph Theory | Discrete Maths GATE,sdNimI5gdGc,2018-08-30T11:30:04Z,15:2,7670,146.0,19.0,0,2.2352836593220338,10.0,en,15.033333333333333,Fri Aug 21 15:01:21 2020,7687,146.0,19.0,10.0
283,graph theory lectures,Thu Aug 20 02:49:41 2020,"Graph Operations , complement , union ,  intersection  , Labeled Graphs  , Graph Theory Lecture 3",IB3meLr5dPU,2017-09-17T07:43:09Z,3:21,4481,15.0,19.0,0,2.2303581804538175,0.0,en,3.35,Fri Aug 21 15:01:05 2020,4484,15.0,19.0,0.0
