,Country Name,Actual Value,Predicted Value,Fractional Change
162,South Sudan,1600.0,-24958.342959949914,-16.598964349968696
32,Central African Republic,700.0,-5026.684147042368,-8.180977352917669
38,"Congo, Democratic Republic of the",800.0,-4909.006879336237,-7.136258599170296
97,Lesotho,3300.0,-16527.44063974271,-6.0083153453765785
87,Kenya,3500.0,-10028.597668285991,-3.865313619510283
23,Brazil,15600.0,-43125.048160800485,-3.7644261641538774
37,Comoros,1600.0,-2360.4523060180436,-2.475282691261277
0,Afghanistan,2000.0,-2828.621420318377,-2.4143107101591887
124,Nepal,2700.0,-3249.4673282509393,-2.2035064178707184
132,Pakistan,5400.0,-5537.076726881154,-2.0253845790520657
94,Laos,7400.0,-3096.172802277877,-1.4184017300375509
41,Cote d'Ivoire,3900.0,-1345.7433307517058,-1.3450623925004375
160,Somalia,12750.0,-1222.0551093444374,-1.0958474595564265
148,Samoa,5700.0,-139.73833928164095,-1.024515498119586
56,Ethiopia,2200.0,-27.43298305360804,-1.01246953775164
6,Argentina,20900.0,1402.9576323939764,-0.9328728405553122
53,Equatorial Guinea,37400.0,2634.9022487363472,-0.9295480682156056
71,Guyana,8100.0,932.0445476960158,-0.8849327718893808
60,Gabon,18100.0,2280.92631877683,-0.8739819713382967
184,Ukraine,8800.0,1216.374275098562,-0.8617756505569816
122,Namibia,11200.0,1789.282937081014,-0.8402425949034809
195,Zambia,4000.0,1013.7085563575893,-0.7465728609106027
22,Botswana,17000.0,4648.8751243027145,-0.726536757393958
30,Cameroon,3700.0,1055.0878661520474,-0.7148411172562035
91,Kosovo,10900.0,3424.945093630158,-0.6857848537953983
113,Mexico,19900.0,6516.344048138624,-0.6725455252191647
24,Brunei,78900.0,28099.2586616072,-0.6438623743776021
90,"Korea, South",39500.0,16247.998323490814,-0.5886582702913717
52,El Salvador,8000.0,3449.713971556306,-0.5687857535554617
66,Greenland,41800.0,18572.310981899704,-0.5556863401459401
131,Oman,46000.0,22100.88130930497,-0.5195460584933702
177,Tonga,5900.0,2869.713948991961,-0.5136078052555998
83,Jamaica,9200.0,4866.566559741659,-0.471025373941124
100,Liechtenstein,139100.0,73927.5276638025,-0.46852963577424517
39,"Congo, Republic of the",6800.0,3643.3433674805055,-0.46421421066463153
68,Guatemala,8200.0,4816.9343691439935,-0.4125689793726837
81,Israel,36400.0,21466.942456824687,-0.4102488336037174
36,Colombia,14400.0,8630.24836988219,-0.40067719653595896
96,Lebanon,19600.0,12167.469240921935,-0.379210753014187
15,Belarus,18900.0,12364.442048539531,-0.3457967170084904
163,Spain,38400.0,25762.039979647394,-0.32911354219668243
138,Philippines,8400.0,5703.340817189557,-0.32103085509648127
11,"Bahamas, The",32400.0,22179.203573953248,-0.3154566798162578
75,Iceland,52200.0,36101.839805886586,-0.30839387345044855
12,Bahrain,49000.0,33995.61748244184,-0.3062118881134318
111,Mauritania,4500.0,3161.0507542877094,-0.29754427682495344
76,India,7200.0,5213.8381652529515,-0.2758558103815345
79,Iraq,16700.0,12170.379087402027,-0.27123478518550737
78,Iran,20100.0,14846.996805113773,-0.2613434425316531
194,Yemen,2500.0,1851.651643208228,-0.2593393427167088
10,Azerbaijan,17500.0,12973.739911068691,-0.2586434336532177
49,Dominican Republic,17000.0,12741.505744951064,-0.2504996620617021
178,Trinidad and Tobago,31300.0,23536.300363344133,-0.24804152193788712
80,Ireland,73200.0,55064.06254565956,-0.24775870839262898
86,Kazakhstan,26300.0,19920.646196164038,-0.2425609811344472
188,Uruguay,22400.0,17158.296379384818,-0.23400462592032065
92,Kuwait,65800.0,50412.508378429244,-0.23385245625487472
4,Angola,6800.0,5313.59516673514,-0.21858894606836174
74,Hungary,29600.0,23209.515696643874,-0.2158947399782475
142,Romania,24600.0,20167.049994258974,-0.18020121974557016
107,Maldives,19200.0,15810.280934895338,-0.17654786797420116
31,Canada,48400.0,40223.4781896088,-0.16893640104114044
180,Turkey,27000.0,22677.21353021089,-0.1601032025847818
181,Turkmenistan,18200.0,15322.112794607217,-0.15812567062597707
19,Bhutan,9000.0,7620.169773947044,-0.1533144695614396
134,Panama,25400.0,21559.826476958195,-0.15118793397802383
189,Uzbekistan,6900.0,5899.0409959990175,-0.14506652231898298
44,Cyprus,37200.0,32025.14687291054,-0.13910895502928655
116,Monaco,115700.0,99695.25633832224,-0.13832967728329953
16,Belgium,46600.0,40461.46624794366,-0.13172819210421333
72,Haiti,1800.0,1580.8826252557265,-0.12173187485792974
126,New Zealand,39000.0,34320.981790753875,-0.11997482587810578
130,Norway,72100.0,63462.757952924316,-0.11979531271949631
102,Luxembourg,105100.0,93478.73056167993,-0.11057344850923
175,Timor-Leste,6000.0,5434.361051049353,-0.09427315815844121
185,United Arab Emirates,68600.0,62371.840515246,-0.09078949686230316
157,Slovakia,33100.0,30406.901524696754,-0.08136249170100442
141,Qatar,124100.0,114343.58014068782,-0.07861740418462679
106,Malaysia,29100.0,26974.98305330477,-0.07302463734347864
84,Japan,42900.0,40346.07888132099,-0.05953196080836859
156,Singapore,94100.0,88967.20433126806,-0.05454618138928734
35,China,18200.0,17609.36794917033,-0.03245231048514672
25,Bulgaria,21800.0,21241.58331905728,-0.02561544407994123
140,Portugal,30500.0,29720.00302021183,-0.025573671468464634
9,Austria,50000.0,49077.429458518774,-0.01845141082962451
171,Taiwan,50500.0,50041.88418645847,-0.009071600268149143
125,Netherlands,53900.0,53476.403790039454,-0.007858927828581556
5,Antigua and Barbuda,26400.0,26224.03096189661,-0.006665493867552675
187,United States,59800.0,59573.432115821495,-0.003788760604991718
46,Denmark,50100.0,49963.14964404625,-0.002731544031012962
174,Thailand,17900.0,18087.04364921429,0.01044936587789334
169,Switzerland,62100.0,62780.60284726864,0.010959788200783213
63,Germany,50800.0,51982.38460492451,0.023275287498514
166,Suriname,14900.0,15389.005987333387,0.03281919378076421
127,Nicaragua,5900.0,6142.0482465445075,0.041025126532967374
