,Variable1,Variable2,P Value,Significance,Fraction of Permutations produce at least this high a correlation
0,Stock of narrow money,Stock of broad money,0.0,0.0,0.0
1,Electricity - production,Electricity - consumption,0.0,0.0,0.0
2,Electricity - production,Electricity - installed generating capacity,0.0,0.0,0.0
3,Electricity - consumption,Electricity - installed generating capacity,0.0,0.0,0.0
4,Refined petroleum products - production,Refined petroleum products - consumption,0.0,0.0,0.0
5,Telephones - mobile cellular,Population,0.0,0.0,0.0
6,GDP (purchasing power parity),Electricity - production,0.0,0.0,0.0
7,GDP (purchasing power parity),Electricity - installed generating capacity,0.0,0.0,0.0
8,Telephones - mobile cellular,Labor force,0.0,0.0,0.0
9,GDP (purchasing power parity),Electricity - consumption,0.0,0.0,0.0
10,Electricity - installed generating capacity,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
11,Labor force,Population,0.0,0.0,0.0
12,Electricity - production,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
13,Electricity - consumption,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
14,Birth rate,Total fertility rate,0.0,0.0,0.0
15,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,0.0,0.0,0.0
16,Internet users,Labor force,0.0,0.0,0.0
17,Broadband - fixed subscriptions,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
18,Telephones - fixed lines,Electricity - installed generating capacity,0.0,0.0,0.0
19,Telephones - fixed lines,Stock of domestic credit,0.0,0.0,0.0
20,Telephones - fixed lines,Electricity - consumption,0.0,0.0,0.0
21,Telephones - mobile cellular,Internet users,0.0,0.0,0.0
22,Telephones - fixed lines,Electricity - production,0.0,0.0,0.0
23,Exports,Imports,0.0,0.0,0.0
24,GDP (purchasing power parity),Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
25,Telephones - fixed lines,GDP (purchasing power parity),0.0,0.0,0.0
26,Stock of domestic credit,Electricity - installed generating capacity,0.0,0.0,0.0
27,Stock of domestic credit,Electricity - consumption,0.0,0.0,0.0
28,Refined petroleum products - production,Railways,0.0,0.0,0.0
29,Stock of domestic credit,Electricity - production,0.0,0.0,0.0
30,Internet users,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
31,Refined petroleum products - consumption,Railways,0.0,0.0,0.0
32,Broadband - fixed subscriptions,Electricity - installed generating capacity,0.0,0.0,0.0
33,Natural gas - production,Natural gas - consumption,0.0,0.0,0.0
34,Internet users,Population,0.0,0.0,0.0
