,Telephones - fixed lines,Telephones - mobile cellular,Internet users,Broadband - fixed subscriptions,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor force,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Imports,Reserves of foreign exchange and gold,Debt - external,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Carbon dioxide emissions from consumption of energy,Area,Military expenditures,Population,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Airports,Railways,Roadways,Merchant marine,DiffExportImports,NetworkByArea,DiffBirthvsDeath,EnergyResoursesDiffExportImport
Telephones - fixed lines,1.0,0.7644980585896923,0.8937141193725476,0.928069255507129,0.9573095387652656,0.01846038849763531,0.1308327949226344,0.19090109719735565,0.0004946549880172932,0.7854376645571426,-0.11609368027530977,0.031044853161957143,-0.02525923479926152,0.04073600433695323,0.14700069979163108,-0.025416659956638436,-0.16417126319358363,-0.10467196056249846,0.8981834193570484,0.8982231736425185,0.9625956632597842,0.7215747985319838,0.7384169552258256,0.9229729911593278,0.9191393139301726,0.8270888536822082,0.5885974555728982,0.4839159527801854,0.4907699970435231,0.9604017512844002,0.9612458483587745,0.3011884559166558,0.455381653881966,0.9654316095615322,-0.019789015392931104,0.1957144698613919,-0.08838389766755865,0.12853940211573223,0.47018843614877276,0.11129399293359296,0.8785485793566628,0.09617925899197648,0.8516997645803225,0.8777458064128694,0.540759055977485,0.5886287271094536,0.5190160583902748,0.6998886545162959,0.22612153035716245,0.7585953482415226,0.18149643532909146,0.9372850641445285,0.5764191166955464,0.04461302857300518,0.7105576594503192,0.23935252247639952,-0.13843546334077336,-0.200929503588296,0.0579972493331517,0.07179801506215994,-0.160382076506533,-0.17213102351380477,0.19186502836482613,-0.18022429707118817,-0.01550713656525057,-0.16835477629345444,0.03291237269692024,-0.06372246406246813,0.5324789744793645,0.7729757067704321,0.8271847875955824,0.4430628583942133,-0.04735610106772654,0.14615194942235196,-0.20897038538615798,-0.3255668229684898
Telephones - mobile cellular,0.7644980585896923,1.0,0.9604285714849564,0.7914276632477006,0.8564136171123407,0.06649733239202944,-0.021642160130735735,0.20009018718122762,0.041339800312169786,0.9861423864754694,-0.08263438473006625,0.047125624611576745,-0.15044401954583844,0.013409028607638046,0.02361638061091422,-0.013596610109455818,-0.053891810442368605,-0.032013651032036634,0.6527480971436848,0.6528497275321371,0.6896497779402234,0.40819623746869166,0.41874947280942837,0.6815641815432515,0.6559638700660869,0.7564644980019914,0.23529639122342272,0.2558719104149237,0.19923812065808488,0.8179869392216431,0.8063276202992066,0.13489777539959247,0.20265078421940164,0.8206701360793239,0.020683468466140723,0.04940698692232484,-0.05614588758446124,0.048656479963174515,0.3158997218617445,0.07812229485363091,0.7363726454668448,0.06140520557103332,0.6416859748203132,0.6638657430280774,0.35112017307792276,0.4023552903232874,0.31949098533486986,0.43437032970288486,0.12409869455565127,0.46812996895023123,0.16148127073568325,0.8530962340741662,0.49436707416994774,0.03411844537140805,0.9871738405529419,0.07099669231191694,-0.049217748074669644,-0.08268661214814758,-0.0024782536696284453,0.03238235428749851,-0.06415736879601856,-0.0254608006870188,0.032002579438951614,-0.08458962107309324,-0.15413215631421967,0.06190206767684628,-0.05178574750848465,-0.08352465285815644,0.2555913190054198,0.5623688035664426,0.811160920970915,0.4442740817984375,0.0458607177062194,0.059238340729528785,-0.07874691407525919,-0.20757914781683634
Internet users,0.8937141193725476,0.9604285714849564,1.0,0.9094802652112989,0.9359619018295302,0.04524996311969389,0.02858500675842662,0.20273956543653535,0.022665030848141105,0.974488756418199,-0.0907146792999236,0.05192957053721814,-0.10678918862057887,0.01746957401418327,0.05961326959724796,-0.0015154555235516187,-0.09060233248650841,-0.05757660236020422,0.7816673514225437,0.7816562984634426,0.8274416592389164,0.5212916741249493,0.5285294681818651,0.8052564870883892,0.7778578804321795,0.8466618631838564,0.34345663898185114,0.3396634845915601,0.2976259235274904,0.9219164505317851,0.9143957166705082,0.1960062059861552,0.28033347932249175,0.9263824954993024,0.003924513585361155,0.09355263054616113,-0.06259072530695466,0.07589658118989494,0.38236365501170344,0.09803409657096106,0.8123577352268584,0.0864505310997271,0.7377348936885975,0.7628040048707222,0.4181685088506452,0.4685485961067464,0.38842065607855547,0.5319221185102466,0.1535044867284244,0.5842482618614059,0.17541214910477265,0.9464658845629775,0.5500253462915309,0.040754334793173405,0.9403757405841092,0.13031119717026873,-0.08774824755872326,-0.12541982690910253,0.027233167415351936,0.039409502238803996,-0.10348079124520723,-0.08172527579566051,0.08834007332928127,-0.12012939593964195,-0.10452746500891127,-0.02941328955551991,-0.011942451883810145,-0.07837850397585132,0.3414552393992589,0.6552189971212582,0.8482197575800705,0.4133098011998742,0.043684476943213715,0.07892579404752086,-0.12618640039661902,-0.2582514652109827
Broadband - fixed subscriptions,0.928069255507129,0.7914276632477006,0.9094802652112989,1.0,0.8995978792153534,0.03297401624980329,0.061334705660584674,0.19697775690179015,0.0185834702662323,0.8488128014818405,-0.08738308593246434,0.05134265453597716,-0.029053510183687455,0.02144977270416422,0.05159725995283373,-0.013695084281460409,-0.1138241751370084,-0.09263814109522743,0.8485055450024312,0.8485056911899377,0.8906768689064072,0.5320251575542081,0.5250839526747932,0.850253251282494,0.7959302870300982,0.8918405939519318,0.349084581908073,0.352993951929413,0.32439348920227096,0.9340873344631633,0.9369053179119612,0.21260399802681804,0.26174417057283067,0.9442732372036199,-0.011147430770262139,0.10035267848097816,-0.0538833276095179,0.08631248382081423,0.35272911579339605,0.059534226823729004,0.7535678600701975,0.061830049334230495,0.6990264581516139,0.73219543378644,0.3525144445048625,0.4269629635230972,0.3534504556954424,0.5014212313934503,0.12668670729302464,0.5831375632407096,0.11972773587925249,0.9731905276279624,0.4960424120361367,0.02600158695547747,0.7458651190048754,0.1557991490912409,-0.09961640903127733,-0.13496338813635475,0.03927992891266308,0.03566081077313894,-0.10616925771955504,-0.1112263231678116,0.11269500415645517,-0.12406430223953775,-0.05402140066938381,-0.13199051052906544,0.04066637447315012,-0.08094121645906216,0.309369407694665,0.613699731610906,0.7070677095557418,0.3660555652032836,0.1363605826200732,0.05930185204792318,-0.14006924113467703,-0.2665917804413042
GDP (purchasing power parity),0.9573095387652656,0.8564136171123407,0.9359619018295302,0.8995978792153534,1.0,0.029345686776775598,0.11920462498085525,0.18997685565522274,0.009348277632979145,0.8603579976356139,-0.11507023529797641,0.044599785013541775,-0.07344219269681158,0.025605082643028198,0.08950423029577319,-0.01613094106031707,-0.14305363783483036,-0.11294577077712079,0.8299298873158863,0.8299728322541745,0.9394240609648528,0.7770071695180731,0.7419871359878452,0.8891464975366327,0.9211085255219007,0.7745225012695769,0.5998330503848893,0.49520624369919014,0.4898343236512268,0.9868766380634919,0.9845968304164012,0.24018479725192873,0.45667559465095603,0.9865437492905481,0.008603035636671311,0.13915627313316023,-0.09017028077185946,0.10149782189829432,0.5187238490256756,0.14686373003123124,0.924685607475613,0.11099849309840598,0.9078424877616063,0.9302891760049006,0.6132640515999799,0.5946201381761806,0.5747010009533483,0.7342566546110736,0.2496686671647547,0.6843157438757806,0.15286585154487076,0.9577633267594374,0.5928921915797514,0.07672506229245503,0.8161891360546212,0.1848510708106283,-0.10429088917088201,-0.16419437555426292,0.026732413257424575,0.0652040376832157,-0.1302104486595125,-0.13003840873563954,0.148773577190028,-0.14806303191840345,-0.025158153170785756,-0.09746338783541306,0.011180873288062967,-0.09556587739505003,0.5946765621200625,0.844857119335031,0.922921802617025,0.4582055799721853,-0.17213393948122316,0.10751276594275426,-0.16522143021448535,-0.2829133752550687
GDP - real growth rate,0.01846038849763531,0.06649733239202944,0.04524996311969389,0.03297401624980329,0.029345686776775598,1.0,-0.054357801726829934,-0.010207645549115059,0.6315921789622123,0.06565401672938713,-0.09937044016059443,-0.15824321859750837,0.06971304113700019,0.033039362446192856,-0.15536917123325406,-0.21467595919162866,0.039176230732472,-0.043078248227886605,0.013371694039564374,0.013302951785505715,0.010472048180200885,-0.02108977864724193,-0.007559339795111565,0.012621464431472494,0.01244342592794743,0.03670149772128108,-0.023994416206152683,-0.037211773207273924,-0.04194957557488244,0.02652721761133739,0.02615881914413314,0.004459611723235358,-0.027654696510778964,0.02515175000940166,-0.0047724077070340175,-0.008546681735021114,0.028586502238453666,-0.0445805317768532,-0.058594951506999414,-0.11688809064232299,0.018709945270903847,-0.12728873931336637,-0.010153915660296529,4.550386972141245e-05,-0.046916742126231585,0.01679575869683504,-0.02410395734863026,-0.019673211094825793,-0.026366621486208743,-0.004873698060057644,-0.030661182245081593,0.033343837677479615,0.03171844736486991,-0.16975363080314318,0.06603838122832852,0.0018878525911473223,-0.14543471073299946,-0.010140486996060696,-0.04213167220051956,-0.2395134906201051,-0.01700927479101669,-0.0011826397440205662,-0.026289950684040064,-0.031173026949826557,-0.08669608986997418,0.05768534112642693,-0.10374013875002008,-0.014252178566162961,-0.023982679043048065,0.006428837505393353,0.025036168487673274,0.03437128915473771,-0.0002013808155718968,0.014936544135137767,0.002006685980632026,-0.007841759363683915
GDP - per capita (PPP),0.1308327949226344,-0.021642160130735735,0.02858500675842662,0.061334705660584674,0.11920462498085525,-0.054357801726829934,1.0,0.4060770847067969,-0.050509253578027984,-0.028334154359311626,-0.29610221705656314,-0.32145947955932547,0.1931176050366572,0.13800819601605557,0.027162362801627187,-0.060891434844478856,-0.440804500942229,-0.4650657960630599,0.19231043272594794,0.19275064271128045,0.19411015429092715,0.19449895044899349,0.32834070943558313,0.26473298255193767,0.24503260091349827,0.1466842026041671,0.33448025748913024,0.39130866253110574,0.39713080257310746,0.12458502425135994,0.12525672269344884,0.24807828191303383,0.3031733353757875,0.13941054548815895,0.03221085724061271,0.25467282948998365,-0.21715266015148119,0.25565587369213383,0.24311255518387734,0.2318137198599703,0.21757103904566713,0.16377863773647602,0.217476845296468,0.22018732235470648,0.40431588853534106,0.4219123562101374,0.24300120382341575,0.23373579124099086,0.3587389989240211,0.3031990348229426,0.19428793073289338,0.10666080900454156,0.05726718403056691,0.15102269201512253,-0.04376205597739323,0.6423457099406122,-0.2375387662611503,-0.5643836412736487,-0.07324274602175661,0.3467106203210558,-0.46283427473576405,-0.55458597862633,0.6598762021094019,-0.48687670475704464,0.2716246516058179,-0.4343091842787098,0.008141626284694356,-0.06271863409348777,0.14324132448257038,0.2105438943076181,0.1060090158691963,0.15273713525979446,0.05238638246103725,0.5204102053565245,-0.5190955089717755,0.0891835481359556
Gross national saving,0.19090109719735565,0.20009018718122762,0.20273956543653535,0.19697775690179015,0.18997685565522274,-0.010207645549115059,0.4060770847067969,1.0,-0.04293968253537598,0.19586406556453298,-0.24167491681872996,-0.04768429466253347,0.10061877003229577,0.16757998848054775,-0.17374827072625645,-0.09949094740102174,-0.23762771801923138,-0.26678658585511883,0.20555136803428847,0.20589235305692252,0.17576632122842,0.05323100750229271,0.16614863069580507,0.26257819487898404,0.20567266248302993,0.2634587797439836,0.054323279861179394,0.1701007884790422,0.1531570303188477,0.18982200564509336,0.18882332032028115,0.14032834671130204,0.10733304126072081,0.189835533178922,-0.04223919660234617,0.11852908467840098,-0.0013915944131725835,0.04187911434462903,0.14270791524423665,0.11933176679439313,0.19358272378389657,0.08403626397857585,0.1576215571015128,0.16199382880976654,0.2132573117551033,0.25418277289519464,0.1429015786429726,0.13872124185281745,0.21237555718028756,0.1902042744803529,0.21513115810052913,0.2090896993191996,0.08246547330940561,0.05375426224735587,0.17569970716013514,0.27828152155322755,-0.08189599548768865,-0.32510263473335094,-0.11828836402409701,0.27042387648299243,-0.34406105033100515,-0.29232057511069204,0.268153637295457,-0.33445410087046,0.1045887291313408,-0.16501313026372516,0.11756371224010892,-0.07468572645137768,-0.010291589160502846,0.10015164203344437,0.12379039282394257,0.23476500627698776,0.1844741684333551,0.1993801091655179,-0.2795445959560777,0.06506210217550185
Industrial production growth rate,0.0004946549880172932,0.041339800312169786,0.022665030848141105,0.0185834702662323,0.009348277632979145,0.6315921789622123,-0.050509253578027984,-0.04293968253537598,1.0,0.0445820354680676,0.060411518338142116,-0.19145319516654943,-0.12357978504793192,-0.11442885166970508,-0.11585639527299248,-0.041426196286027166,0.0006616041475150245,-0.002043883458843423,0.0010815080168845104,0.0015052669436212626,-0.002982176098911987,0.0050266415938357775,-0.008974350182152558,0.007959759287351102,0.0046629981823719455,0.008620767884877615,-0.024041349041727254,-0.01813921630746083,-0.013879385436879457,0.009110375899400117,0.003580197283498641,0.014199047475156724,-0.0006883255771064915,0.010602013947641226,-0.06657630193009258,0.01124286039773981,0.07477976096793294,-0.027081365908829848,-0.06242259650467679,-0.10076655510347308,0.015195852004983433,-0.030706045279852802,-0.0195989058730047,-0.019397289459111722,-0.03893876497613156,0.010091030391607737,-0.05105801949250258,-0.03944282750149984,-0.0518889684902421,0.0010501286898325557,-0.05364751024898892,0.010009079639586941,-0.005707764001792636,-0.21104377660232557,0.04706656788398388,-0.029174860205110287,0.10799674951621253,0.038368250702043485,-0.008162567874034257,0.12625921277488789,0.04538444978565243,0.02060470585991606,-0.02548288313986404,0.02528123529497587,-0.2154032697515396,0.2964297347327724,-0.09166504576544227,0.01738917148874,-0.036317450218911904,-0.021368330340501604,0.010039734495671287,0.043023832422358105,0.011149441989724418,-0.0068324824891792925,0.03879787360071797,-0.03803316456383947
Labor force,0.7854376645571426,0.9861423864754694,0.974488756418199,0.8488128014818405,0.8603579976356139,0.06565401672938713,-0.028334154359311626,0.19586406556453298,0.0445820354680676,1.0,-0.07460995901719418,0.05211870421926562,-0.1375582867725242,0.010673986976638638,0.01794468761858113,-0.004116999697799873,-0.04926117132687773,-0.02647335454033366,0.6868664443339947,0.6869517925272243,0.7168326735845515,0.3909241617886526,0.39510798558747734,0.7011082348076965,0.6600892165847414,0.8035118551589611,0.20457672093318247,0.2468843693426102,0.19029141125048166,0.8401953195805911,0.8303096238060018,0.13759909545044213,0.16828701049574485,0.8456465615211941,-0.0010188998343296607,0.03972243682084861,-0.03158301182797483,0.04950054336517285,0.2803615817241038,0.050803438461782986,0.7283014716946968,0.05129357325380611,0.6209411170235761,0.6471300502845031,0.3076972165951866,0.3747103861425977,0.2703226977381506,0.39151580674576253,0.08336773200877072,0.4624903079795536,0.12331205276368766,0.8880994431226501,0.4736047343477846,0.023772845933630004,0.9823692023174663,0.05716663326291001,-0.04457737955740032,-0.0633743126045893,0.00646122591863345,0.017769090150837684,-0.04636780895532661,-0.011205130511563442,0.018718661918975654,-0.06436078555549339,-0.16506528834857492,0.0576529132168713,-0.05519538737593492,-0.09815780603073965,0.21380673387079913,0.5395378361232751,0.7876886854838601,0.3835043960951454,0.09911608655086848,0.05019766294866805,-0.062177617154477616,-0.22465098782542506
